MPP3_KO1	MPP3_KO2	MPP3_KO3	MPP3_KO4	MPP3_WT1	MPP3_WT2	MPP3_WT3	MPP3_WT4	MPP4_KO1	MPP4_KO2	MPP4_KO3	MPP4_KO4	MPP4_WT1	MPP4_WT2	MPP4_WT3	MPP4_WT4
Srr	441.7	414.1	377.1	417.8	302.3	575.8	371	241.1	377.1	332.2	496.1	408	376.4	307.5	332.2	368.5
Acp5	305.7	455.7	248.5	302.3	304.4	235.9	254	348.1	145	274.6	192.3	178.4	212.4	299	200.7	172.1
Fbxo9	2867	3764.7	3468.9	3487.4	3173.8	3413.8	3114.6	3459.8	1824.3	2219.8	2532	2467	2483.2	2818.1	2438.9	3221.4
Vps50	1269.8	1233.9	1156	1117.9	1226.1	1230.1	1061	1278.9	1226.5	1187.7	1128.7	914.6	1136.6	1225.1	1025.4	1021.5
Hars	3381.9	4078.8	4140.2	4431.1	4190.2	3807	4167	4053.5	4012.1	3942.3	4005.5	4113	4163.4	4110.7	3689.9	3699.9
Zmat2	3108.9	2828.3	3028	3026.3	3065.2	2839.4	3112	2945.8	3289	3346.1	3065.2	3088.9	3009.2	2820.5	3098.2	3247.4
Ube2c	3811.4	4373.9	3939.3	4686.5	4965.1	4326.6	3872.3	4363.5	6345	7220.2	5542.8	6827.3	6574.6	6310.2	6327.2	5820.9
Smg5	1588.7	1520.6	1319.8	1887.6	2579.9	2871.7	1749.3	1589.8	1987.9	1598.6	1879.4	1945.6	2412.1	1917.3	2398.4	2133.6
Cct3	16393.5	17305	17108.3	17099.3	15167.7	15892.1	15620.9	18132.8	14848.8	17141.2	15223.7	15988.6	14880.5	15821.8	14791.2	15828.4
Glmp	4052.4	4774.8	5460	5383.1	5494	4603.2	4613.5	4600.9	4521.8	4981.2	5077.2	5211.9	5274.9	4587	4383.8	4429.2
Mef2d	924.7	1101.8	1078.9	916.7	1103.7	1171.2	1081	1049.6	1591.2	1906.8	1321	1379.9	1220.2	1268.5	1168.7	1443.7
Tmem79	140.7	155.9	180.9	148.9	141.6	85.7	117.9	122.4	176.1	172.8	120.7	96.6	126.3	132.6	96.3	120
Snd1	9462.8	9868.5	10477.2	8651.2	10251.6	9037.9	8373.1	9182	10267	11095.3	12277.9	9431.3	9593.9	11139.6	9741.5	11510.8
Slc19a1	3609.8	4338.2	3903.1	3733.7	3466.5	4159.5	3643.4	4097	3831.9	3873.2	3867.6	3750.3	3222.5	4058.9	3278.3	3827.4
Kpnb1	7633.1	7642.3	6872.1	7949.2	7566.3	7789.5	6423.5	7907.5	7472.1	7799.1	6843.9	8272.2	7439.4	6756.3	6431.6	7128.6
Npepps	1437.7	1242.2	1531.2	1883.1	1314.4	2041.8	1674.8	1350.6	1534.2	1198.2	1176.5	1705.1	1564	1485.6	1344.4	1424.4
Mrpl10	2922.3	2846.1	2885.2	3232	3303.7	2649.9	3005.4	3216.9	3277.6	2860.2	2766.7	3275.2	2805.2	3546.4	2920.3	3289.4
Cyp51	1316.7	1788.3	1625.4	1619.6	1373	1690.7	1719.9	1641.5	1000.7	1761.8	1459	1719.9	1302.2	1596.5	1659.7	1260.7
Tcf25	7274.8	7526.9	7793.8	8144.1	8201.7	8546.4	7836.5	7620.2	7684.4	7662.8	8115.9	8056.4	7902.8	7664.3	8920.4	8297
Tubb6	1245.5	1494.4	1520.7	1422.9	951.5	1482.9	1261.3	1900.7	1722.7	1494	1490.8	909.7	801.2	2164.5	1352.5	2811
Def8	7677.2	8252.7	7654.8	6438.7	11675.6	10016.7	7460.2	7850.4	3790.4	4576.9	4021.5	3633	5898.8	6171.5	6092	5952.7
Foxm1	391.1	386.7	451.3	452.9	475.8	373.5	329.4	464.1	779	803.6	685.7	944.2	814.6	594.5	688.7	627
