baseMean	log2FoldChange	lfcSE	pvalue	padj
Pglyrp1	930.008624361803	-2.73220882720749	0.155949154539184	8.76854924268823e-70	2.05989368922639e-68
Csf1r	3709.95502419399	-2.72618102048753	0.0864855709650248	4.00317177930259e-219	3.99445199918926e-217
Kcnk12	1424.57939218182	-2.72488299047103	0.134719367996554	5.07851654578612e-92	1.64570063499783e-90
Cd300lb	758.720770256121	-2.70782407874342	0.190952220537292	1.0027593216961e-46	1.63789439936033e-45
Ero1l	2162.70448066111	-2.70132450668943	0.116152342153877	1.09037221771795e-120	4.81963649568486e-119
Myo1b	93.0645079758668	-2.67392655454977	0.521601527847425	1.11771399726433e-08	3.82100463515261e-08
Ndrg2	231.334565330757	-2.67242451351963	0.312981374255659	8.98034348153755e-19	6.03359344046236e-18
Slc28a2	1296.88679083517	-2.67185234384162	0.142650281494332	2.449238531948e-79	6.78116096839888e-78
Gm16194	191.144007205349	-2.66170665694886	0.342346371087041	4.63209962373378e-16	2.73475688388922e-15
4930438A08Rik	101.816559161821	-2.65891316422071	0.529620588338488	1.88786777121245e-08	6.35044439194895e-08
P2ry2	287.376517177295	-2.65037961940023	0.332276703553914	9.39640276000652e-17	5.71841467483971e-16
Wls	2193.26377520043	-2.63967994050268	0.105031970813868	1.97133769383993e-140	1.09763211483529e-138
Dab2	55.328150508973	-2.62972035317307	0.779131998770087	1.58548855401171e-05	4.00063937088882e-05
Gfi1	1326.83039400647	-2.62199590284884	0.138155305024174	2.19756091100707e-81	6.23859686228993e-80
Rab44	1663.68517528745	-2.61715766559632	0.124193393968269	1.21412019224576e-99	4.30841665403268e-98
Dock1	223.510576990628	-2.61640816519494	0.343992416464555	1.67135851638249e-15	9.61961800576968e-15
Cd14	185.917064586466	-2.61141532562519	0.349560292624769	4.63613309650894e-15	2.57995302852662e-14
Cables1	324.911412449957	-2.6065534941033	0.290996886729677	2.21005829511505e-20	1.60352537783798e-19
Ms4a6c	1340.57617231481	-2.60643252300867	0.130569346315658	1.00947868762072e-89	3.17922694182551e-88
Smpdl3a	1579.35787913287	-2.60316831077496	0.135040389509359	7.14342502105722e-84	2.07468119199466e-82
G0s2	142.936774060987	-2.57432485916886	0.455182948616557	6.53430935784766e-10	2.48688707357964e-09
Ms4a6b	459.285631920303	-2.57324930970566	0.21961047359653	7.732079437725e-33	8.88527897074031e-32
Mc5r	68.3090586025371	-2.5665011186164	0.657513563131929	2.43539975744477e-06	6.74844559643245e-06
Deptor	304.596510427613	-2.5624464781646	0.284200536076146	1.2644767606831e-20	9.30174948479143e-20
Lhfpl2	284.354415245841	-2.55927094081055	0.311809859174506	1.37102258366329e-17	8.71745463606225e-17
Csgalnact2	2404.62689307312	-2.55888950079577	0.106975398120443	1.59913263268301e-127	7.53086853840158e-126
Anxa9	184.979821515641	-2.55880047390933	0.362438216200478	8.91726093958431e-14	4.56415214571512e-13
Abhd5	419.304493538245	-2.55773549985823	0.237127693599407	2.84550479397879e-28	2.82810624395644e-27
Klf9	288.867376328132	-2.55661786726784	0.277984634247331	2.41344740842169e-21	1.84823122964087e-20
Nebl	53.5862244645708	-2.55022323305516	0.796547620839889	2.87710997850142e-05	7.07725515336523e-05
Tmem141	178.233106542186	-2.54788877152695	0.368833584857505	2.55999927512299e-13	1.26717449384526e-12
Id1	103.702522672334	-2.54580486278569	0.523886383407459	4.00938117652806e-08	1.30765512935436e-07
Hsd11b1	759.856417782623	-2.54313760870662	0.172457707844385	2.53362565658695e-50	4.3797391710263e-49
Ifngr1	7906.06833448286	-2.54117004468122	0.058715299858835	0	0
Guca1a	95.9472995829153	-2.5315557198943	0.509536491485196	2.35779174466208e-08	7.86034575015033e-08
Kcng2	144.069973351426	-2.51815235367816	0.42131649244477	9.94726400812205e-11	4.08344304170485e-10
Cited4	113.056852513211	-2.51014540124793	0.460941821613509	2.00830081174667e-09	7.29094221209759e-09
Ckap4	3817.16419744628	-2.50855291009781	0.0791428610186844	1.44662195877401e-221	1.50299547428087e-219
Stx11	321.806248548208	-2.50822193787925	0.262790868840496	8.82560401843285e-23	7.20781501602644e-22
Vill	598.302179019689	-2.48289781071279	0.191631340997348	1.54496942496068e-39	2.15952869136667e-38
Msantd3	827.455329049233	-2.47525584040458	0.167283190034227	1.13274498077692e-50	1.97847554874692e-49
Dnajc12	166.502034324179	-2.47050688136311	0.367662044921756	8.74302387852344e-13	4.16016027609817e-12
Plppr3	2562.64585969872	-2.46877373607345	0.0940851684799292	7.41883949728473e-153	4.67294152835222e-151
Adam15	1064.94688289238	-2.46371386582458	0.162713559282205	6.32558927275472e-53	1.15279003057544e-51
G6pdx	4230.30225016396	-2.46169785572936	0.0798088406189161	5.21311205165374e-210	5.05170608236216e-208
Stom	5663.3155753653	-2.45776727735112	0.0652032954887093	0	0
Scamp1	854.419346528605	-2.45618930451617	0.164462132012076	1.42059677723328e-51	2.51612905464973e-50
Tceal8	743.904261941123	-2.45195245650183	0.188824707767974	1.03065874081346e-39	1.44464239080919e-38
Nrp2	75.2050418503045	-2.4473624790891	0.7510950941589	2.47509630620805e-05	6.14082239634778e-05
