24h_1	24h_2	72h_1	72h_2	proB_1	proB_2
Celf2	8581.6	8927.5	10286.2	10511	9615.9	9510
Ddb2	995.3	1044.8	930.9	1008.6	1281.3	1174.3
Spi1	3160.4	2616.3	3464.6	2989.6	1572.6	1555.6
Sf3a1	9095	8991.2	9852.8	9521	9091.4	9776.8
Stat6	4001.6	4069.7	4319.4	4454.5	4038.8	3982.1
Clgn	618.3	582.9	954.1	993.9	3649	4889.6
Napsa	4360	3762.3	5551.9	4158.8	7105.2	7645
Vrk3	1723.2	1725.1	1761.5	1790	1971.7	1971
Smg9	951.7	970.8	1107.2	1060.5	1171.4	1196.2
Paxip1	4150.1	4206.5	4280.4	4196	5159.4	5322.1
Rmnd5a	5793.5	6103.1	4766.7	5522.8	6301.8	5960.4
Mov10	2856.8	2626.6	2143	2753.6	1331.1	1616.5
Ppard	1234.8	1249.1	1155.5	1139.8	1443	1426.4
Def6	2725	3006.1	3039.5	3316.6	3596.1	3580.1
Metrn	1748.3	1679.2	1932.3	1997.6	2138.6	2315.7
Lmf1	809.6	819	691.4	721.7	912.2	783.3
Narfl	963.7	964.2	1007	997.8	830.4	944.1
Angptl4	736.3	705.6	598.6	648.2	103.7	152.3
Dbf4	3640.4	3637.7	4975.6	4418.2	5886.1	5742.3
Daxx	3023	2814	3049.8	3064	2405	2326.6
Cd320	918.2	865.9	698.9	809.8	413.6	458
Ipo4	3607	3662.1	3630.7	3919.8	2018.3	2310.8
Tm9sf1	2219.9	2095.3	2251.6	2264	2248.5	2200
Irf9	2176.3	1876.9	1310.5	1967.3	928.8	976.9
Gmpr2	1363	1298.8	1519.3	1330.8	1499	1450.8
Mdp1	1485.5	1427.2	1342	1339.6	1214.9	1182.8
Dhrs1	1429.8	1385	1229.7	1208.4	1327.9	1232.8
Tmem161a	1341.6	1495.6	1270.6	1471.8	946.5	1046.4
Armc6	548.7	550.1	694.2	615	486.2	528.7
Borcs8	916.4	992.4	943.9	828.4	920.5	849
Slc25a42	355.6	358	287.7	321.2	171	241.2
Snx9	2937.6	2769	2963.4	2952.4	2211.2	2259.7
Ranbp3	4046.2	3936.6	4162.6	4291.9	4145.5	4480.3
Ndufa11	1507.8	1547.1	1635.3	1650	1518.7	1571.4
Nr2f6	1171.7	1335.3	1027.4	1290.6	569.1	545.7
Use1	2344.3	2206.8	2107.7	2125.9	2139.6	2030.6
